timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0;time;ac_supported;63.5;22.0;22.5
1520266455.1296644;beacon;20;c8:0e:14:5c:46:df;6;6;nisayv;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:15;;;;
1520266457.3619292;beacon;20;50:65:f3:52:f6:83;9;6;DIRECT-82-HP ENVY 7640 series;True;True;True;6.0;;;;;True;True;True;True;True;True;True;True;2018-03-05 17:14:17;;;;
1520266457.4103816;beacon;20;5c:a8:6a:d0:df:4d;9;4;ThuisNetwerk4G;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:17;;;;
1520266457.4782534;beacon;20;7a:be:53:7c:1c:04;5;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:17;;;;
1520266457.480958;beacon;20;54:be:53:7c:1c:07;5;4;VGV751900BA46;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:17;;;;
1520266457.7206762;beacon;20;5c:dc:96:2d:fa:b4;1;4;VGV75192DFAB5;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:17;;;;
1520266460.319897;beacon;20;84:9c:a6:6e:76:48;10;4;VGV75196E7648;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:20;;;;
1520266461.7819667;beacon;20;86:25:19:21:c9:3b;1;6;DIRECT-hmC48x Series;True;True;True;6.0;;;;;True;True;True;True;True;True;True;True;2018-03-05 17:14:21;;;;
1520266461.7906344;beacon;20;bc:54:f9:f8:d6:3c;1;4;AP_616707639;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:21;;;;
1520266463.1609015;beacon;20;9c:c7:a6:cb:9c:d5;1;4;FRITZ!Box 7581 DP;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:23;;;;
1520266465.5213804;beacon;20;ac:64:62:7f:57:56;9;4;H369A7F5756;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:25;;;;
1520266465.5231931;beacon;20;72:64:62:7f:57:57;9;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:25;;;;
1520266473.4971113;beacon;20;14:60:80:65:52:35;8;4;Vaderloos;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:33;;;;
1520266475.6307688;beacon;40;9c:c7:a6:4d:d3:46;6;4;DSW60A-Zuid;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:35;;;;
1520266476.9457214;beacon;20;d0:bf:9c:a7:5f:b9;6;4;HP-Print-B9-ENVY 4500 series;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:36;;;;
1520266479.7417321;beacon;40;04:a1:51:cf:58:9e;6;4;DSW60A-NOORD;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:39;;;;
1520266480.8878818;beacon;20;00:80:48:75:55:32;1;4;Connexxion free wifi;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:40;;;;
1520266483.4433534;beacon;40;14:cc:20:41:b1:00;10;4;De Bloeiende Roos;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:43;;;;
1520266485.1271038;beacon;20;78:96:82:34:b7:d0;6;4;fiekenvictor;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:45;;;;
1520266485.139796;beacon;40;34:31:c4:2d:03:ce;6;6;woudlinux;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:45;;;;
1520266485.1438797;beacon;20;88:dc:96:16:6d:04;6;4;Rodenburg_Tuin2;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:45;;;;
1520266486.3031337;beacon;40;c0:25:06:5a:7e:6a;1;4;FRITZ!Box Fon WLAN 7360;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:46;;;;
1520266486.491758;beacon;40;2a:65:11:f2:ce:b5;6;4;VGV75196E915A;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:46;;;;
1520266486.5320034;beacon;20;84:9c:a6:6e:91:5a;6;4;VGV75196E915A;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:46;;;;
1520266486.5338926;beacon;20;84:9c:a6:6e:91:5b;6;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:46;;;;
1520266486.5625095;beacon;20;62:96:82:34:b7:d1;6;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:46;;;;
1520266486.6518312;beacon;20;f0:d1:a9:11:a5:d2;11;4;WLANB;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:46;;;;
1520266487.5618086;beacon;20;72:8a:4c:af:b6:50;10;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:47;;;;
1520266487.5641515;beacon;20;ec:8a:4c:af:b6:53;10;4;H368NAFB653;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:47;;;;
1520266489.277551;beacon;20;fa:8f:ca:93:b4:26;6;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:49;;;;
