timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0;time;ac_supported;22.0
1520288096.6996818;beacon;20;84:9c:a6:8e:ef:3b;2;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:56;;
1520288099.3530817;beacon;20;1c:c6:3c:38:7e:be;11;4;VGV7519387EBE;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:59;;
1520288099.4657326;beacon;20;00:0f:94:d9:00:54;2;4;GNX92F329;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:59;;
1520288100.7748842;beacon;20;00:23:69:30:07:42;11;4;focuz-secure;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:00;;
1520288101.620291;beacon;20;d8:5d:4c:a0:33:06;5;4;dorotabogdan;True;False;False;1.0;True;True;True;True;;;;;;;;;2018-03-05 23:15:01;;
1520288101.8415039;beacon;20;f4:dc:f9:30:6b:51;1;4;HUAWEI-B593-6B51;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:01;;
1520288102.5534108;beacon;20;5a:4d:ea:89:49:ee;3;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:02;;
1520288102.799824;beacon;40;00:1d:aa:54:39:d0;4;4;VFNL-5439D0;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:02;;
1520288103.8828871;beacon;20;34:4d:ea:89:49:ed;3;4;H368N8949ED;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:03;;
1520288104.7384331;beacon;40;98:de:d0:24:11:38;6;4;TP-LINK_1138;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:04;;
1520288105.945;beacon;40;20:a6:cd:9d:4b:02;1;4;IdB-client;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:05;;
1520288106.8628201;beacon;20;2c:30:33:67:29:70;4;4;NETGEAR01;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:06;;
1520288107.1800425;beacon;20;5c:dc:96:35:de:00;10;4;Henk en Monique ;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:07;;
1520288107.2853613;beacon;20;0c:54:a5:4a:84:a1;1;4;SKP_a1fbe4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:07;;
1520288107.6358652;beacon;40;20:a6:cd:9d:41:c1;11;4;IdB-gast;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:07;;
1520288108.4713364;beacon;20;72:4d:ea:9c:f4:1b;5;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:08;;
1520288108.6912727;beacon;20;9c:80:df:28:22:55;1;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:08;;
1520288108.9741492;beacon;40;04:f0:21:12:85:b5;11;4;RET WIFI;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:08;;
1520288109.7114432;beacon;40;f2:21:12:85:b5:00;9;4;MSSIDV;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:09;;
1520288110.8076417;beacon;20;72:4d:ea:8d:14:1e;3;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:10;;
1520288112.12988;beacon;20;2c:95:7f:4f:1c:c4;3;4;H368N4F1CC4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:12;;
1520288112.1316042;beacon;20;62:95:7f:4f:1c:c5;3;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:12;;
1520288112.4064264;beacon;20;62:7b:35:24:0d:5b;4;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:12;;
1520288114.1154034;beacon;20;e4:8d:8c:52:f1:73;1;4;vz;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:14;;
1520288114.117849;beacon;20;e6:8d:8c:52:f1:74;1;4;vz-iot;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:14;;
1520288115.3450248;beacon;20;fa:8f:ca:37:2c:4d;5;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:15;;
1520288116.2917035;beacon;20;2c:95:7f:56:bf:f4;3;4;H368N56BFF4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:16;;
1520288116.9037552;beacon;40;20:a6:cd:9d:4b:01;1;4;IdB-gast;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:16;;
1520288125.1824884;beacon;20;6a:d2:74:bf:e3:e6;10;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:25;;
1520288133.3873942;beacon;20;84:9c:a6:a4:df:5f;9;4;VGV7519A4DF5F;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:33;;
1520288133.5775213;beacon;20;88:d2:74:bf:e3:e5;10;4;H369ABFE3E5;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:33;;
1520288135.3582084;beacon;20;98:f5:37:59:d1:98;11;4;H220N59D198;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:35;;
1520288136.2221868;beacon;40;ec:08:6b:95:0f:8f;5;4;dorotabogdan;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:36;;
1520288137.3906727;beacon;20;cc:7b:35:24:0d:5a;4;4;Job;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:37;;
1520288137.7717702;beacon;20;9c:80:df:28:22:54;1;4;VGV7519282255;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:37;;
1520288140.5277808;beacon;20;88:03:55:c2:38:32;1;4;M4M Media;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:40;;
1520288141.8603642;beacon;20;84:9c:a6:b4:fc:80;10;4;VGV7519B4FC81;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:41;;
1520288142.652168;beacon;20;34:4d:ea:8d:14:1d;3;4;H368N8D141D;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:15:42;;
