timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0;time;22.0;ac_supported
1520264095.87712;beacon;20;74:85:2a:16:b3:9d;1;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:55;;
1520264096.356954;beacon;20;6c:70:9f:dc:46:4a;6;4;Wi-Fi-netwerk Time Capsule;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:56;;
1520264099.0118523;beacon;20;62:4d:ea:88:d9:fb;1;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:59;;
1520264099.0837402;beacon;20;aa:6b:6e:2b:d3:15;1;4;iPhone (2);True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:59;;
1520264099.8180182;beacon;20;02:9f:c2:27:df:50;11;4;Fratelli-Hotspot;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:59;;
1520264099.8496523;beacon;40;00:50:7f:5d:a4:70;11;4;Futuro-WiFi;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:59;;
1520264102.99748;beacon;40;c4:ea:1d:e1:8c:87;6;4;Deze WiFi kost 5 euro per MB;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:02;;
1520264105.0897727;beacon;20;ac:86:74:1d:c5:5a;5;4;SKP Ackershof;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:05;;
1520264108.2490616;beacon;20;28:ff:3e:20:99:c0;9;4;H369A2099C0;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:08;;
1520264112.294071;beacon;40;00:14:5c:97:1a:28;1;4;Eminent;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:12;;
1520264114.521206;beacon;20;02:80:48:4b:2c:98;4;4;Eijsink85925;True;False;False;1.0;True;True;True;True;;;;;;;;;2018-03-05 16:35:14;;
1520264116.0535274;beacon;20;9c:1c:12:2f:ca:05;6;4;eduroam;True;True;True;11.0;;;;True;;;True;True;True;True;True;True;2018-03-05 16:35:16;;
1520264120.8436263;beacon;20;28:ff:3e:21:4b:85;3;4;TELE2-214B84_2.4G;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:20;;
1520264122.1665466;beacon;20;74:85:2a:13:51:6d;1;4;SKP_0ed144;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:22;;
1520264125.4790258;beacon;20;e8:df:70:34:5d:88;1;6;wifi.ruseler.nl;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:25;;
1520264125.8580399;beacon;20;00:a0:57:1b:df:71;13;4;;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:25;;
1520264125.9909608;beacon;20;b0:7f:b9:bd:e3:01;6;4;ReuserGast;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:25;;
1520264126.1478198;beacon;20;18:83:bf:e1:d6:48;6;4;Bloemendaal;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264126.1936734;beacon;20;b0:7f:b9:bd:e3:00;6;4;Reuser2;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264126.2439704;beacon;20;b0:7f:b9:bd:fd:c0;11;4;Reuser2;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264126.4101884;beacon;40;00:a0:57:1b:f6:e2;11;4;Blokker WiFi;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264126.4128985;beacon;40;c4:ea:1d:a0:11:89;11;4;TELE2-A01189;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264126.429419;beacon;40;00:a0:57:1b:00:c2;11;4;Blokker WiFi;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264126.705581;beacon;40;60:e3:27:b5:04:d4;2;4;SKP_a215d6_EXT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264126.8991694;beacon;40;00:a0:57:1b:d7:b3;12;4;Blokker WiFi;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:26;;
1520264127.2803586;beacon;20;0c:54:a5:4a:82:5d;3;4;SKP_a20e80;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:27;;
1520264127.6825306;beacon;20;50:01:d9:5f:86:78;8;4;VFNL-5F8671;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:27;;
1520264128.2864075;beacon;20;ac:86:74:17:f6:1a;5;4;SKP Ackershof;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:28;;
1520264128.375617;beacon;20;ac:86:74:17:f6:1b;5;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:28;;
1520264128.7965786;beacon;20;e8:40:f2:83:dc:f3;1;4;SKP_ae7e0e;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:28;;
1520264128.7992795;beacon;20;d4:63:fe:dc:cc:d6;1;4;Accesspoint104_5GHz;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:28;;
1520264129.3215475;beacon;40;00:1d:aa:c0:6b:98;6;4;BrainWash;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:29;;
1520264129.6005125;beacon;20;74:85:2a:18:46:76;11;4;SKP_0ff1ce;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:29;;
1520264129.8075302;beacon;20;00:90:d0:e6:fc:4e;11;4;SpeedTouch88AF1E;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:29;;
1520264130.3823848;beacon;20;5c:dc:96:39:fc:9d;7;4;bluesun;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:30;;
1520264131.71521;beacon;20;00:02:6f:97:fd:a4;5;4;EnGenius;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:31;;
1520264132.1106515;beacon;20;34:31:c4:3e:ef:13;1;6;FRITZ!Box Fon WLAN 7360;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:32;;
1520264132.420389;beacon;20;b0:b2:dc:f4:66:8c;13;4;Zy_private_RTRC4J;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:32;;
1520264132.4445128;beacon;20;20:aa:4b:05:6e:a0;13;4;Gast-SNSbank;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:32;;
1520264132.4511023;beacon;20;9c:c7:a6:cd:56:79;13;4;FRITZ!Box 7581 VK;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:32;;
1520264132.6559916;beacon;20;50:68:0a:2e:a5:84;6;4;VFNL-2EA57C;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:32;;
1520264132.6972756;beacon;20;da:0f:99:86:79:3f;6;6;DIRECT-3f-HP M477 LaserJet;True;True;True;6.0;;;;;True;True;True;True;True;True;True;True;2018-03-05 16:35:32;;
1520264133.0366936;beacon;20;34:68:95:80:10:3e;11;4;HP-Print-3E-LaserJet 1102;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:33;;
1520264133.7487738;beacon;20;20:89:86:0f:2e:ac;7;4;H368N0F2EAC;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:33;;
1520264133.7505128;beacon;20;62:89:86:0f:2e:ad;7;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:33;;
1520264133.889695;beacon;20;78:c1:a7:0a:34:41;3;4;H369A0A3441;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:33;;
1520264134.1527038;beacon;20;20:89:86:07:55:a3;8;4;H368N0755A3;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:34;;
1520264134.9717526;beacon;20;ac:86:74:1d:c5:62;5;4;SKP Ackershof;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:34;;
1520264135.0939882;beacon;20;ac:86:74:1d:c5:63;5;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264135.331659;beacon;20;9c:80:df:dd:22:08;10;4;VGV7519DD2208;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264135.3335383;beacon;20;9c:80:df:dd:22:09;10;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264135.4266992;beacon;20;28:c6:8e:39:98:32;1;4;SKP_83ceb0_EXT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264135.4735348;beacon;40;00:14:5c:8e:3b:50;1;4;Rombout-WiFi;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264135.4814014;beacon;20;d4:76:ea:09:42:bf;1;4;H369A0942BF;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264135.5233517;beacon;20;38:60:77:73:dd:c2;1;4;SKP_83ceb0;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264135.9448056;beacon;20;74:85:2a:18:7b:ba;6;4;SKP_0ff996;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:35;;
1520264136.2176833;beacon;20;34:31:c4:3e:b3:78;11;6;FRITZ!Box Fon WLAN 7360;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:36;;
1520264136.2587104;beacon;20;74:67:f7:8a:e1:02;11;4;etos;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:36;;
1520264137.4834044;beacon;40;f4:f2:6d:26:af:68;8;4;TP-LINK_26AF68;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:37;;
1520264138.286268;beacon;20;ac:86:74:1b:ae:8b;5;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:38;;
1520264138.671693;beacon;20;64:d1:a3:39:f2:5a;10;4;SKP_0e8152_EXT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:35:38;;
