timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0;time;ac_supported
1520004824.851157;beacon;20;70:db:98:26:7c:51;13;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:44;
1520004825.0066385;beacon;20;70:db:98:26:7c:50;13;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:45;
1520004827.3432014;beacon;20;2c:33:11:43:1d:42;9;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:47;
1520004831.3021789;beacon;20;2c:33:11:22:15:72;1;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:51;
1520004831.3030336;beacon;20;2c:33:11:22:15:71;1;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:51;
1520004831.3414972;beacon;20;2c:33:11:22:15:70;1;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:51;
1520004833.7678652;beacon;20;08:96:ad:a0:62:e1;9;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:53;
1520004833.924183;beacon;20;08:96:ad:a0:62:e0;9;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:53;
1520004833.9276145;beacon;20;08:96:ad:a0:62:e2;9;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:53;
1520004837.67663;beacon;40;ec:08:6b:af:64:03;10;4;TP-LINK_6403;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:33:57;
1520004844.9961026;beacon;20;e0:3f:49:f5:5f:28;6;4;Balpol 524TL;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:34:04;
1520004846.572067;beacon;40;90:f6:52:40:02:75;8;4;derfniw_wlan;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:34:06;
1520004881.050256;beacon;40;f4:ec:38:eb:cb:d8;1;4;Pubcie;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:34:41;
1520004900.9261518;beacon;20;2c:d0:2d:f5:85:30;1;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:00;
1520004903.3391633;beacon;20;00:a3:8e:8f:be:70;9;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:03;
1520004903.3397443;beacon;20;00:a3:8e:8f:be:72;9;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:03;
1520004903.3405027;beacon;20;00:a3:8e:8f:be:71;9;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:03;
1520004907.5000882;beacon;20;2c:d0:2d:f5:85:31;1;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:07;
1520004907.8261666;beacon;20;00:a3:8e:8f:b4:41;13;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:07;
1520004907.8262622;beacon;20;00:a3:8e:8f:b4:40;13;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:07;
1520004907.8272083;beacon;20;00:a3:8e:8f:b4:42;13;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:07;
1520004910.7940562;beacon;20;2c:d0:2d:f5:85:32;1;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:10;
1520004927.4861877;beacon;20;2c:33:11:43:05:e1;13;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:27;
1520004927.5358233;beacon;20;2c:33:11:43:05:e0;13;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:27;
1520004927.5378587;beacon;20;2c:33:11:43:05:e2;13;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:27;
1520004933.3643363;beacon;20;2c:33:11:22:ea:f0;5;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:33;
1520004933.3651092;beacon;20;2c:33:11:22:ea:f2;5;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:33;
1520004933.3660877;beacon;20;2c:33:11:22:ea:f1;5;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:35:33;
