timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;24.0;36.0;48.0;54.0;time;1.0;2.0;5.5;11.0;9.0;18.0;6.0;12.0;ac_supported
1520004370.5897665;beacon;40;6c:e8:73:48:8c:32;1;4;Amin;True;True;True;1.0;True;True;True;True;2018-03-02 16:26:10;True;True;True;True;True;True;True;True;
1520004371.0486581;beacon;20;9c:5c:8e:c4:73:64;6;4;Atheena;True;True;True;1.0;True;True;True;True;2018-03-02 16:26:11;True;True;True;True;True;True;True;True;
1520004371.218561;beacon;40;a0:f3:c1:64:5c:da;11;4;TP-LINK_645CDA;True;True;True;1.0;True;True;True;True;2018-03-02 16:26:11;True;True;True;True;True;True;True;True;
1520004377.3353398;beacon;20;88:dc:96:10:cc:80;1;4;PANINVEST;True;True;True;1.0;True;True;True;True;2018-03-02 16:26:17;True;True;True;True;True;True;True;True;
1520004406.532972;beacon;40;74:da:38:9e:39:ce;5;4;204;True;True;True;1.0;True;True;True;True;2018-03-02 16:26:46;True;True;True;True;True;True;True;True;
1520004414.5147278;beacon;20;b8:8d:12:68:26:cb;11;4;TOHN;True;True;True;1.0;True;True;True;True;2018-03-02 16:26:54;True;True;True;True;True;True;True;True;
1520004420.9556503;beacon;20;00:1a:70:9c:99:4a;6;4;THE FORCE 1.0;True;True;False;1.0;True;True;True;True;2018-03-02 16:27:00;True;True;True;True;True;True;True;True;
1520004448.6509237;beacon;20;10:da:43:8c:72:8f;3;4;NIGHTHAWK;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:28;True;True;True;True;True;True;True;True;
1520004454.066414;beacon;20;d4:6e:0e:36:43:11;6;4;Klik hier voor WiFi;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:34;True;True;True;True;True;True;True;True;
1520004456.7887185;beacon;20;b4:75:0e:9f:74:26;1;4;supreme being-guest;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:36;True;True;True;True;True;True;True;True;
1520004457.5774586;beacon;20;70:4f:57:bb:bc:6f;11;4;TP-Link_BC427;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:37;True;True;True;True;True;True;True;True;
1520004458.610713;beacon;20;fa:8f:ca:9b:1b:22;3;4;;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:38;True;True;True;True;True;True;True;True;
