timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0;time
1519942447.642548;beacon;20;54:88:0e:13:b8:48;1;4;UPC241481372;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.6450398;beacon;20;dc:71:44:c9:44:e8;1;4;UPC241070428;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.6569874;beacon;20;00:26:18:a1:3c:97;1;4;HuisjeJ;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.6589758;beacon;40;be:f2:af:b2:c3:ca;1;4;Nellyshaarmoniegast;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.7555923;beacon;20;54:25:ea:c7:0b:1c;1;4;TMNL-C70B16;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942448.140569;beacon;20;54:67:51:77:11:3d;6;4;Dortmund Scharnhorst;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:08
1519942448.1419532;beacon;20;fa:8f:ca:32:10:26;6;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:08
1519942448.1485894;beacon;20;dc:71:44:24:f3:18;6;4;UPC241850527;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:08
1519942448.1853492;beacon;20;38:d8:2f:26:e6:85;6;4;H369A26E685;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:08
1519942448.1870942;beacon;20;6a:d8:2f:26:e6:86;6;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:08
1519942448.236382;beacon;40;00:5a:13:73:10:a8;6;4;VFNL-73109F;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:08
